ANIO,MES,SEMANA,ADUA_DESC_CODE,PAIS_DESC_CODE,VARIEDAD_CODE,ES_ORGANICO,FOB_DOLPOL_KG,PESO_NETO
2022,10,42,3,14,36,1,5.410931677018634,12075
2022,10,42,0,14,36,1,4.287273252872732,13837
2022,10,42,3,14,36,1,7.314344899016054,7724
2022,10,42,3,14,36,1,5.680579710144928,12075
2022,10,42,3,14,36,1,8.450236966824644,2110
2022,10,42,3,14,36,1,5.412501666000266,7503
2022,10,42,3,14,36,1,6.2125,4080
2022,10,43,3,14,36,1,5.443975155279503,12075
2022,10,43,3,14,36,1,5.443975155279503,12075
2022,10,43,0,14,36,1,4.322685553226855,13837
2022,10,44,3,14,36,1,5.583732590529248,8975
2022,10,44,3,14,36,1,8.619883040935672,2394
2022,10,44,3,14,36,1,6.647233893557423,5712
2022,10,44,3,14,36,1,5.575844421699079,9770
2022,11,44,3,14,36,1,5.350807453416149,12075
2022,11,44,3,14,36,1,5.6107865637387855,9586
2022,11,44,3,14,36,1,6.89762393663831,3409
2022,11,44,0,14,36,1,4.470911324709113,13837
2022,11,44,3,14,36,1,6.373424369747899,11424
2022,11,44,3,14,36,1,8.586883876357561,2394
2022,11,45,3,14,36,1,5.460289855072464,12075
2022,11,45,3,14,36,1,6.108455882352941,11424
2022,11,45,3,14,36,1,5.918866080156403,2046
2022,11,46,3,14,36,1,5.519006211180124,12075
2022,11,46,3,14,36,1,6.14576124567474,13872
2022,11,46,3,14,36,1,6.415041782729805,1077
2022,11,47,0,14,36,1,4.706924315619967,19872
2022,12,49,0,14,36,1,4.586553945249597,19872
2022,12,50,0,14,36,1,3.6503119967793882,19872
2022,12,50,3,14,36,1,5.477101449275362,12075
2022,12,50,5,14,40,1,3.8338001867413634,1071
2022,12,50,5,14,4,1,3.833303798216079,16929
2022,12,51,3,14,36,1,6.9586175534333785,2199
2022,8,33,3,14,36,1,5.1267908902691515,12075
2022,8,33,3,14,36,1,7.508290189396422,15259
2022,8,33,3,14,36,1,8.438125750901081,2497
2022,8,33,3,14,36,1,7.254803675856308,9576
2022,8,33,3,14,16,1,6.698631578947368,9500
2022,8,33,3,14,16,1,7.002422723475355,11970
2022,8,33,3,14,16,1,6.972315789473684,9500
2022,8,34,3,14,40,1,4.443277777777777,18000
2022,8,34,3,14,36,1,5.452091097308489,12075
2022,8,34,3,14,36,1,5.452091097308489,12075
2022,8,34,0,14,40,1,4.581196581196581,10764
2022,8,34,0,14,11,1,4.581196581196581,8073
2022,8,34,0,14,36,1,5.274973544973545,18900
2022,8,34,0,14,36,1,5.243174603174603,18900
2022,8,34,0,14,36,1,7.172121212121212,11550
2022,8,34,3,14,36,1,8.697807149294082,3329
2022,8,34,3,14,36,1,7.129438796824955,14362
2022,8,34,3,14,36,1,10.014619883040936,2394
